route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
22548,CMBC,880,WINDSOR SCHOOL SPECIALS         , ,3,http://tripplanning.translink.ca/hiwire?.a=iScheduleLookup, , 
22549,CMBC,881,CARSON GRAHAM SCHOOL SPECIALS   , ,3,http://tripplanning.translink.ca/hiwire?.a=iScheduleLookup, , 
22550,CMBC,890,BTC OPERATIONAL OVERLOADS, ,3,http://tripplanning.translink.ca/hiwire?.a=iScheduleLookup, , 
22551,CMBC,891,NVT OPERATIONAL OVERLOADS, ,3,http://tripplanning.translink.ca/hiwire?.a=iScheduleLookup, , 
22552,CMBC,892,PCT OVERLOADS, ,3,http://tripplanning.translink.ca/hiwire?.a=iScheduleLookup, , 
22553,CMBC,893,RTC OPERATIONAL OVERLOADS, ,3,http://tripplanning.translink.ca/hiwire?.a=iScheduleLookup, , 
22554,CMBC,894,STC OPERATIONAL OVERLOADS, ,3,http://tripplanning.translink.ca/hiwire?.a=iScheduleLookup, , 
22555,CMBC,895,VTC/OTC OPERATIONAL OVERLOADS, ,3,http://tripplanning.translink.ca/hiwire?.a=iScheduleLookup, , 
22556,SKYT,980,CANADA LINE SkyTrain, ,2,http://infomaps.translink.ca/Public_Timetables/SkyTrain.pdf, , 
22557,SKYT,996,MILLENNIUM SkyTrain, ,2,http://infomaps.translink.ca/Public_Timetables/SkyTrain.pdf, , 
22558,WCEX,997,WEST COAST EXPRESS              , ,2,http://infomaps.translink.ca/Public_Timetables/WCE.pdf, , 
22559,CMBC,998,SEABUS                          , ,4,http://infomaps.translink.ca/Public_Timetables/SeaBus.pdf, , 
22560,SKYT,999,EXPO SkyTrain                      , ,2,http://infomaps.translink.ca/Public_Timetables/SkyTrain.pdf, , 
22561,CMBC,C1,HASTINGS & GILMORE/KOOTENAY LOOP, ,3,http://infomaps.translink.ca/Public_Timetables/94/ttC1.pdf, , 
22562,CMBC,C10,BLUEWATER/SNUG COVE            , ,3,http://infomaps.translink.ca/Public_Timetables/94/ttC10.pdf, , 
22563,CMBC,C11,EAGLE CLIFF/SNUG COVE           , ,3,http://infomaps.translink.ca/Public_Timetables/94/ttC11.pdf, , 
22564,CMBC,C12,LIONS BAY/CAULFEILD, ,3,http://www.westvancouver.ca/Residents/Level3.aspx?id=2152, , 
22565,CMBC,C15,INDIAN RVR/DEEP COVE/PHIBBS EXCH, ,3,http://infomaps.translink.ca/Public_Timetables/94/ttC15.pdf, , 
22640,CMBC,C18,WEST MALL/UBC LOOP, ,3,http://infomaps.translink.ca/Public_Timetables/94/ttC18.pdf, , 
22566,CMBC,C19,ALMA/UBC, ,3,http://infomaps.translink.ca/Public_Timetables/94/ttC19.pdf, , 
22567,CMBC,C2,CAPITOL HILL/HASTINGS AT GILMORE, ,3,http://infomaps.translink.ca/Public_Timetables/94/ttC2.pdf, , 
22568,CMBC,C20,TOTEM PARK/UBC LOOP, ,3,http://infomaps.translink.ca/Public_Timetables/94/ttC20.pdf, , 
22569,CMBC,C21,YALETOWN/BEACH, ,3,http://infomaps.translink.ca/Public_Timetables/94/ttC21.pdf, , 
22571,CMBC,C23,YALETOWN/DAVIE/MAIN ST STN, ,3,http://infomaps.translink.ca/Public_Timetables/94/ttC23.pdf, , 
22572,CMBC,C24,PORT MOODY STN/LOUGHEED STN, ,3,http://infomaps.translink.ca/Public_Timetables/94/ttC24.pdf, , 
22573,CMBC,C25,IOCO/PORT MOODY STN, ,3,http://infomaps.translink.ca/Public_Timetables/94/ttC25.pdf, , 
22574,CMBC,C26,BELCARRA/PORT MOODY STN, ,3,http://infomaps.translink.ca/Public_Timetables/94/ttC26.pdf, , 
22575,CMBC,C27,COQUITLAM STN/PORT MOODY STN, ,3,http://infomaps.translink.ca/Public_Timetables/94/ttC27.pdf, , 
22576,CMBC,C28,COQUITLAM STN/PORT MOODY STN, ,3,http://infomaps.translink.ca/Public_Timetables/94/ttC28.pdf, , 
22577,CMBC,C29,COQUITLAM STN/PARKWAY BOULEVARD, ,3,http://infomaps.translink.ca/Public_Timetables/94/ttC29.pdf, , 
22578,CMBC,C3,FRASERVIEW/NEW WEST STN, ,3,http://infomaps.translink.ca/Public_Timetables/94/ttC3.pdf, , 
22579,CMBC,C30,LAFARGE PARK/COQUITLAM STN, ,3,http://infomaps.translink.ca/Public_Timetables/94/ttC30.pdf, , 
22580,CMBC,C36,PORT COQ STN/PORT COQ SOUTH, ,3,http://infomaps.translink.ca/Public_Timetables/94/ttC36.pdf, , 
22581,CMBC,C37,PORT COQ STN/PRAIRIE/RIVERSIDE, ,3,http://infomaps.translink.ca/Public_Timetables/94/ttC37.pdf, , 
22582,CMBC,C38,COQ STN/RIVER SPR/PRAIRIE/POCO, ,3,http://infomaps.translink.ca/Public_Timetables/94/ttC38.pdf, , 
22583,CMBC,C4,UPTOWN/NEW WESTMINSTER STATION, ,3,http://infomaps.translink.ca/Public_Timetables/94/ttC4.pdf, , 
22584,CMBC,C40,MERIDIAN/PORT COQUITLAM STN, ,3,http://infomaps.translink.ca/Public_Timetables/94/ttC40.pdf, , 
22585,CMBC,C41,MEADOWTOWN/MAPLE MDWS STN/P MDW CTR, ,3,http://infomaps.translink.ca/Public_Timetables/94/ttC41.pdf, , 
22586,CMBC,C43,HANEY PL/MAPLE MDWS STN/MEADOWTOWN, ,3,http://infomaps.translink.ca/Public_Timetables/94/ttC43.pdf, , 
22587,CMBC,C44,HANEY PL/MAPLE MDWS STN/MEADOWTOWN, ,3,http://infomaps.translink.ca/Public_Timetables/94/ttC44.pdf, , 
